Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country,Date Generated
0,Dotonbori,4.0 ,"10,607",+81 6-6211-4542,"Dotombori, Chuo-ku",Osaka 542-0076 ,,2018-07-14 17:35:23
1,Fushimi Inari-taisha Shrine,4.5 ,"20,457",+81 75-641-7331,"68 Fukakusa Yabunouchicho, Fushimi-ku",Fushimi Kyoto 612-0882 ,,2018-07-14 17:35:23
2,Kiyomizu-dera Temple,4.5 ,"10,192",+81 75-551-1234,"1-294 Kiyomizu, Higashiyama-ku",Higasiyama Kyoto 605-0862 ,,2018-07-14 17:35:23
3,Kinkakuji Temple,4.5 ,"14,579",+81 75-461-0013,"1 Kinkakujicho, Kita-ku",Kyoto 603-8361 ,,2018-07-14 17:35:23
4,Myoko Snowsports,5.0 ,111,+81 255-87-3580,585-74 Akakura,Myoko 949-2111 ,,2018-07-14 17:35:23
5,Ran Theatre Kyoto,5.0 ,204,+81 75-253-0150,"583-2 Nakanocho Shinkyogokudori Shijo Agaru, Nakagyo-ku",Nakagyo Kyoto 604-8042 ,,2018-07-14 17:35:23
6,Koyasan Okunoin,5.0 ,"1,004",+81 736-56-2011,550 Koyasan,Koya-cho Ito-gun 648-0211 ,,2018-07-14 17:35:23
7,Nara Visitor Center & Inn,5.0 ,240,+81 742-81-7461,3 Ikenocho,Nara 630-8361 ,,2018-07-14 17:35:23
8,Miyajima,4.5 ,"4,089",+81 829-44-2011,Miyajima-cho,Hatsukaichi 739-0500 ,,2018-07-14 17:35:23
9,Mimamishima,5.0 ,106,+81 4998-2-2587,Minamijima,Ogasawara-mura 100-2100 ,,2018-07-14 17:35:23
10,Shiratani Unsuikyo Valley,4.5 ,623,,Miyanoura,Yakushima-cho Kumage-gun 891-4200 ,,2018-07-14 17:35:23
11,Kyoto Samurai & Ninja Museum,5.0 ,154,+81 6-7878-8307,"407-2 Shimomaruyacho Kawaramachidori Sagaru Nichome, Nakagyo-ku",Nakagyo Kyoto 604-8006 ,,2018-07-14 17:35:23
12,Nishihama Beach,5.0 ,366,,Hateruma,Taketomi-cho Yaeyama-gun 907-1751 ,,2018-07-14 17:35:23
13,Atomic Bomb Dome,4.5 ,"4,922",+81 90-5880-8705,1-10 Otemachi Naka-ku,Hiroshima 730-0051 ,,2018-07-14 17:35:23
14,Yabiji,5.0 ,142,,North side of Ikema Island,Miyakojima 906-0000 ,,2018-07-14 17:35:23
15,Todai-ji Temple,4.5 ,"4,687",+81 742-22-5511,406-1 Zoshicho,Nara 630-8211 ,,2018-07-14 17:35:23
16,Hirosaki Cherry Blossom Festival,4.5 ,119,,1 Shimo Shiroganecho,Hirosaki 036-8356 ,,2018-07-14 17:35:23
17,Taikoiwa,4.5 ,141,,,Yakushima-cho Kumage-gun ,,2018-07-14 17:35:23
18,Teshima Art Museum,4.5 ,244,+81 879-68-3555,607 Teshimakarato,Tonosho-cho Shozu-gun 761-4662 ,,2018-07-14 17:35:23
19,Itsukushima Shrine,4.5 ,"2,982",+81 829-44-2020,1-1 Miyajimacho,Hatsukaichi 739-0588 ,,2018-07-14 17:35:23
20,Eikando Zenrinji Temple,4.5 ,"1,429",+81 75-761-0007,"48 Eikandocho, Sakyo-ku",Kyoto 606-8445 ,,2018-07-14 17:35:23
21,Shoshazan Engyoji,4.5 ,348,+81 79-266-3327,2968 Shosha,Himeji 671-2201 ,,2018-07-14 17:35:23
22,Furuzamami Beach,4.5 ,226,,Zamami,Zamami-son Shimajiri-gun 901-3402 ,,2018-07-14 17:35:23
23,Hiroshima Peace Memorial Museum,4.5 ,"5,973",+81 82-241-4004,"1-2 Nakajimacho, Naka-ku",Hiroshima 730-0811 ,,2018-07-14 17:35:23
24,The Hakone Open-Air Museum,4.5 ,"2,209",+81 460-82-1161,1121 Ninotaira,Hakone-machi Ashigarashimo-gun 250-0493 ,,2018-07-14 17:35:23
25,H.I.S. Tourist Information Center Harajuku,4.5 ,292,+81 3-5770-5131,1-19-11 Jingumae,Jingumae Shibuya 150-0001 ,,2018-07-14 17:35:23
26,Hiroshima Peace Memorial Park,4.5 ,"2,957",+81 82-242-7798,"1-2 Nakajimacho, Naka-ku",Hiroshima 730-0811 ,,2018-07-14 17:35:23
27,Zamami Island,4.5 ,339,,Zamami,Zamami-son Shimajiri-gun 901-3402 ,,2018-07-14 17:35:23
28,Mt. Koya,4.5 ,715,,,Koya-cho Ito-gun ,,2018-07-14 17:35:23
29,Nozawa Onsen Ski Resort,4.5 ,645,+81 90-6507-7719,Toyosato,Nozawaonsen-mura Shimotakai-gun 389-2502 ,,2018-07-14 17:35:23
